#BLTrackFile test
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
7.13409 22.1739 0.290018 0 0 0 0.14614 13 139 1 0 1 
-10.8731 -11.2824 0.334956 0 0 0 0.136321 13 140 1 0 1 
-18.6047 0.670996 0.342163 0 0 0 0.137215 13 141 1 0 1 
-13.2784 12.5151 0.300463 0 0 0 0.144012 13 142 1 0 1 
-16.2113 -7.13928 0.330928 0 0 0 0.139445 13 143 1 0 1 
37.374 -6.56121 0.288012 0 0 0 0.146382 13 144 1 0 1 
-1.01472 18.7368 0.328024 0 0 0 0.13766 13 145 1 0 1 
-7.55556 0.387506 0.343054 0 0 0 0.135659 13 146 1 0 1 
-18.9278 -10.5799 0.341458 0 0 0 0.137544 13 147 1 0 1 
-8.90229 -30.1135 0.307369 0 0 0 0.142926 13 148 1 0 1 
-3.18747 3.97154 0.366435 0 0 0 0.131872 13 149 1 0 1 
1.65358 -6.7449 0.349664 0 0 0 0.134819 13 150 1 0 1 
18.4011 6.07925 0.306665 0 0 0 0.142994 13 151 1 0 1 
-2.686 -5.97177 0.351402 0 0 0 0.13409 13 152 1 0 1 
-0.328004 -14.7613 0.324684 0 0 0 0.138459 13 153 1 0 1 
-7.98996 19.9473 0.303555 0 0 0 0.14158 13 154 1 0 1 
-0.338619 -0.318115 0.310739 0 0 0 0.143415 13 155 1 0 1 
-0.705332 14.5799 0.347605 0 0 0 0.134974 13 156 1 0 1 
12.3393 1.20397 0.28394 0 0 0 0.144717 13 157 1 0 1 
26.0816 21.7213 0.323439 0 0 0 0.139314 13 158 1 0 1 
-7.28074 -8.7351 0.314041 0 0 0 0.142065 13 159 1 0 1 
-4.27623 -8.53665 0.312169 0 0 0 0.142111 13 160 1 0 1 
-4.06468 12.8187 0.360688 0 0 0 0.132196 13 161 1 0 1 
-12.3598 -30.0391 0.356275 0 0 0 0.133439 13 162 1 0 1 
-8.19657 -7.21152 0.31924 0 0 0 0.141153 13 163 1 0 1 
-22.9778 3.27518 0.358829 0 0 0 0.132773 13 164 1 0 1 
4.84745 -11.3934 0.320982 0 0 0 0.139592 13 165 1 0 1 
32.3892 -30.1237 0.36703 0 0 0 0.13198 13 166 1 0 1 
8.50172 -37.2845 0.326613 0 0 0 0.139209 13 167 1 0 1 
1.58172 24.0783 0.32066 0 0 0 0.139967 13 168 1 0 1 
5.86832 -11.9723 0.31385 0 0 0 0.14255 13 169 1 0 1 
-2.07368 1.7763 0.35832 0 0 0 0.13238 13 170 1 0 1 
11.25 -16.0588 0.325286 0 0 0 0.139235 13 171 1 0 1 
-27.0822 12.1804 0.318336 0 0 0 0.140119 13 172 1 0 1 
-3.24491 -12.8111 0.328102 0 0 0 0.138486 13 173 1 0 1 
31.8165 -7.18743 0.283529 0 0 0 0.147763 13 174 1 0 1 
-17.4669 6.89038 0.33079 0 0 0 0.137278 13 175 1 0 1 
5.9682 -17.9348 0.319269 0 0 0 0.141969 13 176 1 0 1 
-10.8692 -9.1695 0.336395 0 0 0 0.137343 13 177 1 0 1 
27.1707 -5.11253 0.385626 0 0 0 0.13014 13 178 1 0 1 
-6.94993 -1.38428 0.337225 0 0 0 0.138369 13 179 1 0 1 
12.3425 -0.0112013 0.310737 0 0 0 0.136853 13 180 1 0 1 
35.9236 12.9858 0.314113 0 0 0 0.141498 13 181 1 0 1 
11.5497 -23.281 0.385196 0 0 0 0.130908 13 182 1 0 1 
1.4504 8.13458 0.35981 0 0 0 0.132416 13 183 1 0 1 
-0.298431 5.53143 0.353638 0 0 0 0.135466 13 184 1 0 1 
2.46942 -1.01715 0.278405 0 0 0 0.149318 13 185 1 0 1 
12.9034 20.3561 0.347964 0 0 0 0.13569 13 186 1 0 1 
12.8796 -23.9933 0.334947 0 0 0 0.138451 13 187 1 0 1 
